SURFACE  (  208 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    1.90000   1.90000   3.20000 125.00000 125.00000   0.00000   -344.92195734   -344.92196350   0.6160538E-05
    1.70000   1.90000   3.20000 125.00000 125.00000   0.00000   -344.90917857   -344.90915220  -0.2637309E-04
    1.90000   1.70000   3.20000 125.00000 125.00000   0.00000   -344.90917857   -344.90915220  -0.2637310E-04
    1.90000   1.90000   3.00000 125.00000 125.00000   0.00000   -344.91275521   -344.91275633   0.1116096E-05
    1.90000   1.90000   3.20000 100.00000 125.00000   0.00000   -344.90598570   -344.90600827   0.2256989E-04
    1.90000   1.90000   3.20000 125.00000 100.00000   0.00000   -344.90598570   -344.90600827   0.2256989E-04
    1.90000   1.90000   3.20000 125.00000 125.00000 -10.00000   -344.92172617   -344.92175039   0.2421607E-04
    2.10000   1.90000   3.20000 125.00000 125.00000   0.00000   -344.91529103   -344.91528035  -0.1068399E-04
    1.70000   1.70000   3.20000 125.00000 125.00000   0.00000   -344.89640986   -344.89637318  -0.3667667E-04
    1.90000   2.10000   3.20000 125.00000 125.00000   0.00000   -344.91529103   -344.91528035  -0.1068399E-04
    1.70000   1.90000   3.00000 125.00000 125.00000   0.00000   -344.89982365   -344.89980900  -0.1464897E-04
    1.90000   1.70000   3.00000 125.00000 125.00000   0.00000   -344.89982365   -344.89980900  -0.1464897E-04
    1.90000   1.90000   3.40000 125.00000 125.00000   0.00000   -344.91828069   -344.91828361   0.2919808E-05
    1.70000   1.90000   3.20000 100.00000 125.00000   0.00000   -344.89361718   -344.89362486   0.7684017E-05
    1.90000   1.70000   3.20000 100.00000 125.00000   0.00000   -344.89455659   -344.89456636   0.9770637E-05
    1.90000   1.90000   3.00000 100.00000 125.00000   0.00000   -344.89450020   -344.89449736  -0.2844753E-05
    1.90000   1.90000   3.20000 150.00000 125.00000   0.00000   -344.90111165   -344.90113379   0.2214155E-04
    1.70000   1.90000   3.20000 125.00000 100.00000   0.00000   -344.89455659   -344.89456636   0.9770636E-05
    1.90000   1.70000   3.20000 125.00000 100.00000   0.00000   -344.89361718   -344.89362486   0.7684021E-05
    1.90000   1.90000   3.00000 125.00000 100.00000   0.00000   -344.89450020   -344.89449736  -0.2844754E-05
    1.90000   1.90000   3.20000 100.00000 100.00000   0.00000   -344.87659763   -344.87665407   0.5643630E-04
    1.90000   1.90000   3.20000 125.00000 150.00000   0.00000   -344.90111165   -344.90113379   0.2214155E-04
    1.70000   1.90000   3.20000 125.00000 125.00000 -10.00000   -344.90889566   -344.90888743  -0.8225745E-05
    1.90000   1.70000   3.20000 125.00000 125.00000 -10.00000   -344.90889566   -344.90888743  -0.8225748E-05
    1.90000   1.90000   3.00000 125.00000 125.00000 -10.00000   -344.91248889   -344.91250380   0.1491114E-04
    1.90000   1.90000   3.20000 100.00000 125.00000 -10.00000   -344.90636137   -344.90636586   0.4485422E-05
    1.90000   1.90000   3.20000 125.00000 100.00000 -10.00000   -344.90636137   -344.90636586   0.4485419E-05
    1.90000   1.90000   3.20000 125.00000 125.00000  10.00000   -344.92172617   -344.92175039   0.2421607E-04
    1.50000   1.90000   3.20000 125.00000 125.00000   0.00000   -344.85862144   -344.85863346   0.1201851E-04
    2.10000   1.70000   3.20000 125.00000 125.00000   0.00000   -344.90251708   -344.90250238  -0.1469572E-04
    1.70000   2.10000   3.20000 125.00000 125.00000   0.00000   -344.90251708   -344.90250238  -0.1469572E-04
    1.90000   1.50000   3.20000 125.00000 125.00000   0.00000   -344.85862144   -344.85863346   0.1201851E-04
    2.10000   1.90000   3.00000 125.00000 125.00000   0.00000   -344.90637401   -344.90635879  -0.1522071E-04
    1.70000   1.70000   3.00000 125.00000 125.00000   0.00000   -344.88686612   -344.88685511  -0.1100639E-04
    1.90000   2.10000   3.00000 125.00000 125.00000   0.00000   -344.90637401   -344.90635879  -0.1522071E-04
    1.70000   1.90000   3.40000 125.00000 125.00000   0.00000   -344.90559341   -344.90558090  -0.1250577E-04
    1.90000   1.70000   3.40000 125.00000 125.00000   0.00000   -344.90559341   -344.90558090  -0.1250577E-04
    1.90000   1.90000   2.80000 125.00000 125.00000   0.00000   -344.88174814   -344.88175497   0.6828286E-05
    2.10000   1.90000   3.20000 100.00000 125.00000   0.00000   -344.89889651   -344.89889987   0.3362204E-05
    1.70000   1.70000   3.20000 100.00000 125.00000   0.00000   -344.88259307   -344.88259961   0.6540960E-05
    1.90000   2.10000   3.20000 100.00000 125.00000   0.00000   -344.89791401   -344.89791802   0.4011084E-05
    1.70000   1.90000   3.00000 100.00000 125.00000   0.00000   -344.88174655   -344.88175591   0.9355316E-05
    1.90000   1.70000   3.00000 100.00000 125.00000   0.00000   -344.88286701   -344.88287321   0.6203637E-05
    1.90000   1.90000   3.40000 100.00000 125.00000   0.00000   -344.90426818   -344.90428383   0.1565352E-04
    1.70000   1.90000   3.20000 150.00000 125.00000   0.00000   -344.88658535   -344.88659622   0.1087456E-04
    1.90000   1.70000   3.20000 150.00000 125.00000   0.00000   -344.88559696   -344.88560677   0.9813480E-05
    1.90000   1.90000   3.00000 150.00000 125.00000   0.00000   -344.89335738   -344.89337649   0.1911114E-04
    1.90000   1.90000   3.20000  75.00000 125.00000   0.00000   -344.85988714   -344.85978906  -0.9807504E-04
    2.10000   1.90000   3.20000 125.00000 100.00000   0.00000   -344.89791401   -344.89791802   0.4011083E-05
    1.70000   1.70000   3.20000 125.00000 100.00000   0.00000   -344.88259307   -344.88259961   0.6540962E-05
    1.90000   2.10000   3.20000 125.00000 100.00000   0.00000   -344.89889651   -344.89889987   0.3362203E-05
    1.70000   1.90000   3.00000 125.00000 100.00000   0.00000   -344.88286701   -344.88287321   0.6203637E-05
    1.90000   1.70000   3.00000 125.00000 100.00000   0.00000   -344.88174655   -344.88175591   0.9355318E-05
    1.90000   1.90000   3.40000 125.00000 100.00000   0.00000   -344.90426818   -344.90428383   0.1565352E-04
    1.70000   1.90000   3.20000 100.00000 100.00000   0.00000   -344.86525443   -344.86525440  -0.3447099E-07
    1.90000   1.70000   3.20000 100.00000 100.00000   0.00000   -344.86525443   -344.86525440  -0.3447008E-07
    1.90000   1.90000   3.00000 100.00000 100.00000   0.00000   -344.86219936   -344.86222630   0.2694495E-04
    1.90000   1.90000   3.20000 150.00000 100.00000   0.00000   -344.91039791   -344.91043241   0.3449596E-04
    1.70000   1.90000   3.20000 125.00000 150.00000   0.00000   -344.88559696   -344.88560677   0.9813481E-05
    1.90000   1.70000   3.20000 125.00000 150.00000   0.00000   -344.88658535   -344.88659622   0.1087456E-04
    1.90000   1.90000   3.00000 125.00000 150.00000   0.00000   -344.89335738   -344.89337649   0.1911114E-04
    1.90000   1.90000   3.20000 100.00000 150.00000   0.00000   -344.91039791   -344.91043241   0.3449596E-04
    1.90000   1.90000   3.20000 125.00000  75.00000   0.00000   -344.85988714   -344.85978906  -0.9807504E-04
    2.10000   1.90000   3.20000 125.00000 125.00000 -10.00000   -344.91511377   -344.91511853   0.4762869E-05
    1.70000   1.70000   3.20000 125.00000 125.00000 -10.00000   -344.89606430   -344.89605678  -0.7523364E-05
    1.90000   2.10000   3.20000 125.00000 125.00000 -10.00000   -344.91511377   -344.91511853   0.4762869E-05
    1.70000   1.90000   3.00000 125.00000 125.00000 -10.00000   -344.89950868   -344.89950651  -0.2174915E-05
    1.90000   1.70000   3.00000 125.00000 125.00000 -10.00000   -344.89950868   -344.89950651  -0.2174917E-05
    1.90000   1.90000   3.40000 125.00000 125.00000 -10.00000   -344.91808588   -344.91810127   0.1538979E-04
    1.70000   1.90000   3.20000 100.00000 125.00000 -10.00000   -344.89393812   -344.89393192  -0.6203311E-05
    1.90000   1.70000   3.20000 100.00000 125.00000 -10.00000   -344.89488521   -344.89487937  -0.5835433E-05
