SURFACE  (  208 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    2.80000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.84116012   -344.84115204  -0.8080797E-05
    2.60000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.83715136   -344.83714849  -0.2872545E-05
    2.80000   2.60000   3.10000 125.00000 125.00000   0.00000   -344.83715136   -344.83714849  -0.2870477E-05
    2.80000   2.80000   2.90000 125.00000 125.00000   0.00000   -344.83105718   -344.83105497  -0.2206368E-05
    2.80000   2.80000   3.10000 100.00000 125.00000   0.00000   -344.83184226   -344.83184265   0.3913290E-06
    2.80000   2.80000   3.10000 125.00000 100.00000   0.00000   -344.83184226   -344.83184265   0.3928189E-06
    2.80000   2.80000   3.10000 125.00000 125.00000 -10.00000   -344.84069801   -344.84069780  -0.2061637E-06
    3.00000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.83764401   -344.83763736  -0.6654561E-05
    2.60000   2.60000   3.10000 125.00000 125.00000   0.00000   -344.83307722   -344.83307845   0.1227471E-05
    2.80000   3.00000   3.10000 125.00000 125.00000   0.00000   -344.83764401   -344.83763736  -0.6652836E-05
    2.60000   2.80000   2.90000 125.00000 125.00000   0.00000   -344.82689807   -344.82689712  -0.9518374E-06
    2.80000   2.60000   2.90000 125.00000 125.00000   0.00000   -344.82689807   -344.82689711  -0.9585747E-06
    2.80000   2.80000   3.30000 125.00000 125.00000   0.00000   -344.83563391   -344.83562720  -0.6707148E-05
    2.60000   2.80000   3.10000 100.00000 125.00000   0.00000   -344.82773544   -344.82773311  -0.2328384E-05
    2.80000   2.60000   3.10000 100.00000 125.00000   0.00000   -344.82809543   -344.82809249  -0.2941275E-05
    2.80000   2.80000   2.90000 100.00000 125.00000   0.00000   -344.82102250   -344.82102488   0.2377878E-05
    2.80000   2.80000   3.10000 150.00000 125.00000   0.00000   -344.81946187   -344.81945265  -0.9219955E-05
    2.60000   2.80000   3.10000 125.00000 100.00000   0.00000   -344.82809543   -344.82809249  -0.2939180E-05
    2.80000   2.60000   3.10000 125.00000 100.00000   0.00000   -344.82773544   -344.82773310  -0.2335148E-05
    2.80000   2.80000   2.90000 125.00000 100.00000   0.00000   -344.82102251   -344.82102488   0.2370160E-05
    2.80000   2.80000   3.10000 100.00000 100.00000   0.00000   -344.81029373   -344.81033322   0.3949207E-04
    2.80000   2.80000   3.10000 125.00000 150.00000   0.00000   -344.81946187   -344.81945265  -0.9222433E-05
    2.60000   2.80000   3.10000 125.00000 125.00000 -10.00000   -344.83666745   -344.83666808   0.6290448E-06
    2.80000   2.60000   3.10000 125.00000 125.00000 -10.00000   -344.83666745   -344.83666809   0.6430676E-06
    2.80000   2.80000   2.90000 125.00000 125.00000 -10.00000   -344.83054364   -344.83054553   0.1894437E-05
    2.80000   2.80000   3.10000 100.00000 125.00000 -10.00000   -344.83173994   -344.83173708  -0.2862997E-05
    2.80000   2.80000   3.10000 125.00000 100.00000 -10.00000   -344.83173994   -344.83173708  -0.2862501E-05
    2.80000   2.80000   3.10000 125.00000 125.00000  10.00000   -344.84069801   -344.84069780  -0.2061637E-06
    2.40000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.82116490   -344.82116668   0.1783645E-05
    3.00000   2.60000   3.10000 125.00000 125.00000   0.00000   -344.83368249   -344.83367915  -0.3341230E-05
    2.60000   3.00000   3.10000 125.00000 125.00000   0.00000   -344.83368249   -344.83367916  -0.3333959E-05
    2.80000   2.40000   3.10000 125.00000 125.00000   0.00000   -344.82116489   -344.82116666   0.1772006E-05
    3.00000   2.80000   2.90000 125.00000 125.00000   0.00000   -344.82769571   -344.82769368  -0.2034009E-05
    2.60000   2.60000   2.90000 125.00000 125.00000   0.00000   -344.82265632   -344.82265745   0.1128447E-05
    2.80000   3.00000   2.90000 125.00000 125.00000   0.00000   -344.82769571   -344.82769368  -0.2033641E-05
    2.60000   2.80000   3.30000 125.00000 125.00000   0.00000   -344.83172294   -344.83172083  -0.2113843E-05
    2.80000   2.60000   3.30000 125.00000 125.00000   0.00000   -344.83172295   -344.83172082  -0.2125744E-05
    2.80000   2.80000   2.70000 125.00000 125.00000   0.00000   -344.79374744   -344.79374940   0.1960380E-05
    3.00000   2.80000   3.10000 100.00000 125.00000   0.00000   -344.82848049   -344.82848528   0.4788532E-05
