SURFACE  (  418 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    2.80000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.84722880   -344.84723537   0.6569719E-05
    2.60000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.84323460   -344.84322395  -0.1065180E-04
    2.80000   2.60000   3.10000 125.00000 125.00000   0.00000   -344.84323460   -344.84322395  -0.1065228E-04
    2.80000   2.80000   2.90000 125.00000 125.00000   0.00000   -344.83732270   -344.83730370  -0.1899860E-04
    2.80000   2.80000   3.10000 100.00000 125.00000   0.00000   -344.83788660   -344.83788758   0.9793624E-06
    2.80000   2.80000   3.10000 125.00000 100.00000   0.00000   -344.83788660   -344.83788756   0.9635901E-06
    2.80000   2.80000   3.10000 125.00000 125.00000 -10.00000   -344.84676690   -344.84677070   0.3798358E-05
    3.00000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.84370300   -344.84371677   0.1377017E-04
    2.60000   2.60000   3.10000 125.00000 125.00000   0.00000   -344.83917550   -344.83916387  -0.1162529E-04
    2.80000   3.00000   3.10000 125.00000 125.00000   0.00000   -344.84370300   -344.84371677   0.1377054E-04
    2.60000   2.80000   2.90000 125.00000 125.00000   0.00000   -344.83317790   -344.83315646  -0.2144235E-04
    2.80000   2.60000   2.90000 125.00000 125.00000   0.00000   -344.83317790   -344.83315648  -0.2141854E-04
    2.80000   2.80000   3.30000 125.00000 125.00000   0.00000   -344.84158060   -344.84160917   0.2856552E-04
    2.60000   2.80000   3.10000 100.00000 125.00000   0.00000   -344.83379510   -344.83378880  -0.6303481E-05
    2.80000   2.60000   3.10000 100.00000 125.00000   0.00000   -344.83414820   -344.83413495  -0.1325488E-04
    2.80000   2.80000   2.90000 100.00000 125.00000   0.00000   -344.82727150   -344.82728841   0.1691400E-04
    2.80000   2.80000   3.10000 150.00000 125.00000   0.00000   -344.82554540   -344.82555423   0.8831829E-05
    2.60000   2.80000   3.10000 125.00000 100.00000   0.00000   -344.83414820   -344.83413493  -0.1327222E-04
    2.80000   2.60000   3.10000 125.00000 100.00000   0.00000   -344.83379510   -344.83378881  -0.6294729E-05
    2.80000   2.80000   2.90000 125.00000 100.00000   0.00000   -344.82727150   -344.82728842   0.1691718E-04
    2.80000   2.80000   3.10000 100.00000 100.00000   0.00000   -344.81629110   -344.81635416   0.6305963E-04
    2.80000   2.80000   3.10000 125.00000 150.00000   0.00000   -344.82554550   -344.82555429   0.8788096E-05
    2.60000   2.80000   3.10000 125.00000 125.00000 -10.00000   -344.84275100   -344.84274432  -0.6676686E-05
