SURFACE  (  418 POINTS)

                      
 ------------------------------------------------------------------------------------------------------------------------
      R1        R2      R3      ANGLE1    ANGLE2    ANGLE3        INPUT            FIT            DIFFERENCE
    2.80000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.84146820   -344.84147461   0.6409168E-05
    2.60000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.83747230   -344.83746171  -0.1059435E-04
    2.80000   2.60000   3.10000 125.00000 125.00000   0.00000   -344.83747230   -344.83746171  -0.1059300E-04
    2.80000   2.80000   2.90000 125.00000 125.00000   0.00000   -344.83160780   -344.83158879  -0.1900522E-04
    2.80000   2.80000   3.10000 100.00000 125.00000   0.00000   -344.83212940   -344.83213025   0.8492819E-06
    2.80000   2.80000   3.10000 125.00000 100.00000   0.00000   -344.83212940   -344.83213024   0.8384494E-06
    2.80000   2.80000   3.10000 125.00000 125.00000 -10.00000   -344.84100630   -344.84100991   0.3611595E-05
    3.00000   2.80000   3.10000 125.00000 125.00000   0.00000   -344.83794480   -344.83795857   0.1376919E-04
    2.60000   2.60000   3.10000 125.00000 125.00000   0.00000   -344.83341110   -344.83339954  -0.1155773E-04
    2.80000   3.00000   3.10000 125.00000 125.00000   0.00000   -344.83794480   -344.83795857   0.1376669E-04
    2.60000   2.80000   2.90000 125.00000 125.00000   0.00000   -344.82746070   -344.82743929  -0.2141228E-04
    2.80000   2.60000   2.90000 125.00000 125.00000   0.00000   -344.82746070   -344.82743931  -0.2138573E-04
    2.80000   2.80000   3.30000 125.00000 125.00000   0.00000   -344.83576930   -344.83579791   0.2861043E-04
    2.60000   2.80000   3.10000 100.00000 125.00000   0.00000   -344.82803650   -344.82803004  -0.6456330E-05
    2.80000   2.60000   3.10000 100.00000 125.00000   0.00000   -344.82839310   -344.82837983  -0.1327450E-04
    2.80000   2.80000   2.90000 100.00000 125.00000   0.00000   -344.82155510   -344.82157184   0.1673702E-04
    2.80000   2.80000   3.10000 150.00000 125.00000   0.00000   -344.81974180   -344.81975034   0.8537581E-05
    2.60000   2.80000   3.10000 125.00000 100.00000   0.00000   -344.82839310   -344.82837982  -0.1327697E-04
    2.80000   2.60000   3.10000 125.00000 100.00000   0.00000   -344.82803650   -344.82803006  -0.6443208E-05
    2.80000   2.80000   2.90000 125.00000 100.00000   0.00000   -344.82155510   -344.82157185   0.1674786E-04
